Product_Name,Brand,Rating,Monthly_Sales,Price_SAR,Old_Price_SAR,Offer,Shipping,Competition_Count,Category_Main,Category_Sub,Market_Competition,Brand_Class,Is_Rated,Has_Sales,Discount,Weight_Est,Shipping_Cost,Referral_Fee_Rate,Referral_Fee_Value,Price_After_Discount,Price_Drop,Final_Cost,Net_Revenue,Is_Profitable,Competition_Level,Market_Competition_Level,Supplier_Count,Avg_Supplier_Score,Avg_Entry_Cost,Avg_Price_Range,Supply_Index,Cost_Index,Category_Level,Attractiveness,Demand_Index
Tefal Easy Clean Frypan Set 20+26cm B5729083,tefal,4.4,600.0,99.0,199.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,13.860000000000001,79.2,100.0,108.2,65.34,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Bright Home Stainless Steel Cookware Set 12pcs,bright home,4.6,100.0,90.3,129.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,12.642000000000001,72.24,38.7,101.24,59.59799999999999,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
TEFAL Intuition 8pc Set B864S874,tefal,3.9,50.0,343.5,468.0,Coupon,FREE delivery,3,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.0,2.5,29.0,14.0,48.09,343.5,124.5,372.5,295.40999999999997,1,low,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Korkmaz Astra Frying Pan 24 cm,korkmaz,4.1,50.0,87.5,104.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,12.250000000000002,70.0,16.5,99.0,57.75,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Royalford 24 cm Frying Pan with Glass Lid,royalford,4.2,100.0,30.0,47.0,Coupon,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.0,2.5,29.0,14.0,4.2,30.0,17.0,59.0,25.8,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Sky-Touch 28CM Nonstick Crepe Pan,sky-touch,4.5,100.0,52.44,55.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,7.341600000000001,41.952,2.5600000000000023,70.952,34.6104,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Prestige Popular 5L Pressure Cooker,prestige,4.0,50.0,159.0,159.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.2,2.5,29.0,14.0,22.26,127.2,0.0,156.2,104.94,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Korkmaz Alfa 9-Piece Cookware Set,korkmaz,4.5,50.0,579.0,649.0,20% off,FREE delivery,5,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,81.06,463.20000000000005,70.0,492.20000000000005,382.14000000000004,1,medium,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Korkmaz Astra Stainless Milk Pot 14cm,korkmaz,4.3,50.0,71.25,79.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,9.975000000000001,57.0,7.75,86.0,47.025,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
ALSAIF Granite Pressure Cooker 7L,alsaif,4.4,50.0,138.0,157.9,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,19.32,110.4,19.900000000000006,139.4,91.08000000000001,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
TEFAL G6 Tempo Flame Tawa 36 cm,tefal,4.5,50.0,99.0,159.0,Coupon,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,1,0.0,2.5,29.0,14.0,13.860000000000001,99.0,60.0,128.0,85.14,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
